"gender","age","earnings"
"2",63,6000
"2",38,5500
"1",30,16200
"2",69,7500
"1",49,14900
"2",30,3500
"2",53,12300
"2",-45,17300
"2",34,14000
"2",46,100
"2",25,3200
"1",62,7900
"2",45,5900
"1",44,900
"2",47,3200
"1",68,13700
"1",73,14100
"2",76,13000
"2",68,7000
"2",70,700
"1",49,3600
"2",33,19100
"1",20,13100
"2",63,1400
"2",50,11600
"2",19,1900
"2",27,13000
"2",31,13900
"2",-13,9800
"1",30,100
"2",28,3200
"2",40,11200
"1",24,4200
"1",53,2900
"2",64,13000
"2",76,6900
"2",34,2300
"2",43,16600
"2",29,9000
"1",41,8600
"2",60,15800
"2",28,13500
"1",70,6500
"1",37,13700
"2",19,16800
"2",21,4000
"1",61,16600
"2",78,1500
"2",29,12200
"1",65,4500
"2",40,12800
"2",62,6700
"1",-45,12400
"1",-13,3000
"1",75,16900
"2",76,17700
"2",52,10300
"2",33,200
"2",38,16100
"1",47,-900
"1",65,13700
"2",81,17800
"1",20,5400
"2",55,14100
"2",69,10100
"1",43,5800
"2",18,10700
"1",34,-700
"2",76,9900
"2",62,4500
"1",65,14500
"1",37,500
"2",27,18600
"1",73,6600
"2",26,13400
"1",81,11600
"2",34,8700
"2",66,-900
"2",18,9400
"2",58,13400
"2",23,1600
"2",41,2700
"2",57,9400
"2",80,9000
"2",23,12200
"1",41,3900
"2",47,900
"1",52,19100
"2",26,4000
"2",61,10200
"1",34,5900
"2",29,18900
"2",70,2600
"1",63,14800
"1",82,3100
"2",31,10600
"2",61,200
"1",-13,9400
"1",37,16500
"2",50,5000
"1",80,3400
"1",52,15800
"2",63,13300
"1",54,12100
"1",18,3300
"2",61,10900
"2",44,2700
"2",64,3700
"2",80,13600
"2",50,17800
"2",27,19800
"2",81,4900
"2",55,10500
"1",20,5800
"2",66,13900
"2",34,12300
"2",74,14600
"1",47,13800
"2",62,7500
"2",68,14100
"1",55,19200
"1",55,5000
"2",73,10900
"2",39,9700
"2",29,12900
"1",48,8700
"2",50,19100
"2",61,18600
"1",83,-1000
"1",50,5000
"2",-45,18600
"2",22,1000
"2",47,6000
"2",18,3200
"1",64,10200
"2",22,13300
"2",-45,6700
"1",46,-1000
"2",47,13600
"2",-45,800
"2",45,10600
"2",74,16100
"2",29,7300
"1",74,0
"2",85,9100
"1",-45,8500
"2",77,8000
"2",42,-500
"2",-13,-700
"2",25,19700
"2",31,-600
"2",76,1100
"2",79,2900
"2",21,3300
"2",71,16000
"2",29,-500
"2",34,6800
"1",55,10100
"1",38,1200
"1",23,500
"2",65,11600
"1",-13,16500
"2",35,1400
"2",71,15400
"2",75,3600
"1",67,15800
"2",65,12400
"2",71,5100
"2",84,11200
"2",64,4800
"2",79,8600
"1",22,14800
"2",33,9100
"2",-45,17200
"1",76,3600
"1",56,6900
"1",26,9400
"1",25,-300
"1",25,5900
"1",72,11300
"1",68,3700
"2",31,15200
"2",60,5700
"2",23,16200
"1",45,7900
"2",84,18800
"1",35,17300
"2",72,13700
"2",62,12900
"1",81,19000
"2",26,3700
"2",49,0
"1",57,4800
"2",65,13900
"22",77,2600
"22",45,9300
"2",84,2300
"2",54,6000
"2",70,8500
"2",18,7100
"2",24,5800
"2",36,19900
"1",70,15300
"11",80,5800
"1",55,2700
"2",-13,4500
"1",39,12700
"2",70,14600
"2",52,1000
"1",53,2800
"2",34,16000
"2",73,13500
"2",31,9200
"2",73,13000
"2",46,900
"1",72,5600
"2",18,3400
"2",68,3700
"2",47,17000
"1",58,17600
"1",51,19100
"2",-45,5900
"22",83,6900
"2",52,-800
"2",46,500
"1",52,1400
"1",34,14800
"2",20,9700
"22",79,-200
"1",47,15800
"2",82,17000
"1",49,2200
"2",74,8800
"2",28,1100
"1",78,3300
"1",77,17100
"1",84,6100
"2",42,8600
"2",68,9100
"2",22,18900
"2",54,9400
"2",27,7500
"2",-45,-100
"2",67,10700
"2",81,14200
"2",85,11600
"2",46,11600
"1",55,1600
"1",76,-1000
"2",53,13600
"2",72,5300
"2",25,4300
"2",73,11300
"2",54,16000
"1",48,15000
"1",30,-100
"2",47,16600
"1",37,11100
"2",27,5300
"1",46,15100
"2",55,17300
"2",56,16200
"2",61,15700
"2",74,12600
"2",75,5500
"1",19,18700
"2",43,13800
"2",-45,16300
"2",23,2100
"2",46,12600
"1",64,13200
"1",38,10700
"2",75,7200
"2",76,1300
"2",39,4600
"2",25,19900
"1",83,6500
"1",55,-900
"1",56,800
"2",55,11500
"2",39,-700
"1",29,2500
"2",25,19700
"2",-45,17000
"2",52,2400
"1",85,8500
