"rearn","tearn","ssi","welfare","charity","sex","race","immig","educ_r","r_age","workmos","workhrs"
84000,0,0,0,0,1,1,1,4,29,12,55
14400,-5,0,0,0,2,3,1,4,40,12,40
27500,0,0,0,0,1,3,1,2,36,10,40
85000,0,0,0,0,1,1,0,4,71,11,8
135000,0,0,0,0,1,4,0,4,30,12,75
-9,0,0,0,0,2,2,0,4,41.3242301940918,0,42.2999992370605
54000,38000,0,0,0,2,1,0,4,32,12,40
0,0,0,0,0,2,2,0,2,67,0,0
35000,0,0,0,0,2,1,0,4,51,7,40
27000,0,0,0,0,1,3,0,3,34,12,32
0,0,0,0,0,1,3,0,1,83,0,0
14400,0,0,0,0,1,1,0,4,28,8,30
32000,-5,0,0,0,2,2,1,4,52,12,35
0,5000,0,0,0,2,1,0,2,62,4,5
7200,5000,0,0,0,1,2,0,2,30,6,40
25000,0,0,0,0,1,4,1,3,42,12,40
80000,0,0,0,0,1,1,0,2,49,12,40
250000,0,0,0,0,1,1,1,NA,26,12,50
12000,0,0,0,0,2,1,1,2,22,12,20
2000,0,0,0,1,2,2,1,2,20,6,8
24000,40000,0,0,0,2,1,0,4,25,12,30
15000,0,0,0,0,1,2,0,2,24,12,40
40000,0,0,0,0,2,3,0,4,24,8,60
3600,8000,0,1,0,2,3,0,2,31,10,40
21000,0,0,0,0,2,3,1,2,47,12,42.2999992370605
26000,45000,0,0,0,2,2,1,3,36,12,75
100000,100000,0,0,0,1,4,0,3,46,12,40
26880,0,0,0,0,1,3,1,3,33,12,40
50000,7500,0,0,0,1,2,0,2,37,12,40
0,-9,0,0,0,2,3,0,1,23,0,42.2999992370605
0,0,1,0,0,2,4,1,1,58,0,0
9600,0,0,0,0,2,3,1,1,42,12,39
-5,20000,1,0,0,2,3,0,1,23,8,40
39000,0,0,0,0,2,3,0,3,24,12,40
45000,35000,0,0,0,1,1,0,4,48,12,40
2400,0,0,0,0,1,3,1,1,36,3,5
0,110000,0,0,0,2,1,0,3,35,12,40
2400,9600,1,0,0,2,4,1,4,63,12,20
0,0,0,0,0,2,2,0,1,75,0,0
40000,15000,0,0,0,1,2,0,3,57,12,35
0,0,0,0,0,2,1,0,4,69,0,0
0,0,0,0,0,1,4,1,2,24,0,0
6500,0,0,0,0,1,1,0,3,20,12,12
0,0,0,0,0,2,1,0,2,90,0,0
27000,7000,1,0,0,2,1,0,3,28,12,42
